iter	MAE
0	4412.456292
1	4343.584641
2	4278.72411
3	4214.243243
4	4149.093481
5	4089.15295
6	4032.705547
7	3970.160196
8	3912.349302
9	3855.040357
10	3799.751445
11	3745.695359
12	3693.266936
13	3643.836797
14	3595.078169
15	3546.091663
16	3496.730966
17	3454.652145
18	3407.6755
19	3362.822557
20	3318.882659
21	3272.425577
22	3226.147032
23	3189.25701
24	3148.927835
25	3108.289784
26	3066.869159
27	3027.981115
28	2991.596198
29	2954.831996
30	2920.247533
31	2884.941699
32	2849.557894
33	2817.328857
34	2783.836157
35	2751.131304
36	2718.276004
37	2689.67935
38	2655.215876
39	2624.396881
40	2594.541309
41	2559.964041
42	2530.629709
43	2501.118383
44	2473.130376
45	2445.029997
46	2416.752405
47	2389.304563
48	2362.33224
49	2336.413125
50	2310.674422
51	2282.220049
52	2255.225099
53	2230.32841
54	2206.843413
55	2183.042243
56	2161.323316
57	2137.370195
58	2114.94756
59	2092.809432
60	2070.681129
61	2047.955429
62	2026.744259
63	2005.78063
64	1988.162157
65	1969.031766
66	1948.812364
67	1930.361549
68	1910.934103
69	1893.75306
70	1875.255502
71	1859.844313
72	1841.883415
73	1825.13595
74	1807.128042
75	1791.732041
76	1776.561509
77	1761.948923
78	1747.140586
79	1733.32786
80	1717.940471
81	1702.292426
82	1690.309856
83	1675.983857
84	1659.953402
85	1645.566858
86	1631.069214
87	1616.790701
88	1604.848107
89	1593.896708
90	1581.492925
91	1570.862907
92	1559.294399
93	1549.146871
94	1537.114839
95	1526.571079
96	1515.214962
97	1504.932575
98	1492.937975
99	1482.712222
100	1471.655563
101	1463.317333
102	1452.728032
103	1441.929534
104	1432.741977
105	1424.545993
106	1415.298735
107	1406.884386
108	1400.576363
109	1391.992489
110	1383.851363
111	1376.873125
112	1368.09365
113	1360.523353
114	1351.488697
115	1342.727831
116	1335.524915
117	1328.749007
118	1322.500202
119	1315.550863
120	1309.291957
121	1303.690835
122	1296.906445
123	1291.791934
124	1285.918972
125	1280.641884
126	1273.311344
127	1266.333677
128	1261.099695
129	1255.564007
130	1249.483814
131	1244.685945
132	1238.50857
133	1232.972675
134	1227.276813
135	1221.802779
136	1215.910102
137	1210.867356
138	1204.615432
139	1200.458698
140	1194.665152
141	1189.091043
142	1184.825015
143	1179.697386
144	1175.352098
145	1170.214441
146	1166.215238
147	1162.748572
148	1157.543192
149	1153.165494
150	1149.441174
151	1145.781789
152	1141.921485
153	1138.338385
154	1135.400588
155	1131.710537
156	1126.941193
157	1122.943036
158	1118.09176
159	1114.113838
160	1109.902877
161	1106.831194
162	1104.239435
163	1101.285116
164	1098.290156
165	1095.132044
166	1090.991084
167	1087.29241
168	1084.464256
169	1081.255383
170	1078.570939
171	1075.831359
172	1072.409065
173	1069.934452
174	1065.918465
175	1063.380882
176	1060.745263
177	1057.375434
178	1052.888562
179	1050.228151
180	1047.03509
181	1044.226278
182	1041.928923
183	1039.366542
184	1036.919657
185	1034.2011
186	1031.672177
187	1028.804685
188	1025.563096
189	1023.170734
190	1020.223717
191	1017.684556
192	1015.55262
193	1013.525981
194	1010.336054
195	1008.205792
196	1006.494526
197	1004.441509
198	1001.731316
199	999.9742123
200	997.507416
201	995.0680909
202	993.264325
203	991.5198958
204	988.8592454
205	987.8198117
206	985.9184088
207	982.8383973
208	981.3459788
209	979.7750207
210	977.7945194
211	976.130084
212	974.287116
213	973.1311828
214	971.3017853
215	969.2060059
216	966.7983901
217	964.6943365
218	962.4925356
219	960.3545574
220	958.3715673
221	956.5549387
222	954.9425673
223	953.8020991
224	952.0491736
225	950.160626
226	948.4668483
227	946.4638206
228	944.2573507
229	942.5932382
230	940.6284164
231	939.7024239
232	937.6721674
233	936.2914729
234	935.0887994
235	933.2892507
236	931.8365148
237	930.4170454
238	929.2093306
