iter	Passed	Remaining
0	298	1793686
1	451	1353824
2	594	1188889
3	745	1117149
4	916	1098465
5	1079	1078801
6	1251	1071654
7	1413	1059016
8	1561	1039667
9	1707	1022650
10	1856	1010984
11	2006	1001298
12	2157	993487
13	2298	982879
14	2447	976549
15	2587	967589
16	2731	961502
17	2882	957799
18	3023	951639
19	3160	945119
20	3320	945516
21	3463	941172
22	3602	936053
23	3754	934832
24	3896	931376
25	4054	931692
26	4208	930936
27	4351	928050
28	4522	931219
29	4666	928717
30	4813	926859
31	4942	921739
32	5098	921983
33	5238	919272
34	5394	919422
35	5535	917106
36	5692	917388
