feature,importance
v_3,24.968362682963082
v_12,17.73705073496661
v_0,17.349391480092716
power,5.8943073857764565
v_8,3.946611288003267
kilometer,3.4967627685513034
v_9,3.1267157987451495
v_10,3.0338541648538353
v_6,2.5893319025233703
age_segment,2.0726224169424805
v_1,1.9445834014021786
v_14,1.7805301264491096
vehicle_age_days,1.1857013264870917
car_age_from_now,0.8583100282237929
v_2,0.830763645516036
brand_price_std,0.8222744216380101
v_11,0.8212465379833149
v_13,0.7763280399333419
reg_year,0.7317767149555378
v_4,0.7028676930436945
brand_price_count,0.6849834557173853
vehicle_age_years,0.6443396516322728
v_5,0.5937507396444979
model,0.593419580112489
notRepairedDamage,0.37776762219363824
model_freq,0.3680956049595663
km_per_year,0.3390037718302341
brand_price_median,0.2889663767281883
brand_freq,0.23025270393867286
bodyType,0.1824303823389295
fuelType,0.12785798480314894
model_num,0.12202576047429226
brand_price_mean,0.10965635225332267
v_7,0.10157306007907384
brand_price_ratio,0.08623834593879763
reg_month,0.07601430953549583
bodyType_freq,0.06707992286161041
notRepairedDamage_freq,0.06269142685360407
regionCode,0.05994173375217388
gearbox,0.04741189473171233
brand,0.04055727519343374
fuelType_freq,0.034032651536445156
brand_model,0.02585804625563248
creat_day,0.02226101114716787
gearbox_freq,0.012485858756455056
reg_day,0.01040260533136004
is_new_car,0.009384819785163864
creat_month,0.007712585487231268
reg_season,0.002916202666926935
power_outlier,0.0009766285734768554
creat_season,0.0005177832089905694
creat_year,1.2926282338954916e-06
power_missing,0.0
kilometer_missing,0.0
v_0_missing,0.0
v_14_missing,0.0
v_13_missing,0.0
v_12_missing,0.0
v_11_missing,0.0
v_9_missing,0.0
v_10_missing,0.0
v_8_missing,0.0
v_7_missing,0.0
v_3_missing,0.0
v_6_missing,0.0
v_5_missing,0.0
v_4_missing,0.0
v_1_missing,0.0
v_2_missing,0.0
v_0_outlier,0.0
kilometer_outlier,0.0
